label,full_text,username,clean_text,stemmed_text
positif,Terima kasih atas kepercayaannya selama ini kepada Bank Syariah Indonesia. \n\n#BankSyariahIndonesia #TumbuhSeimbangDanBerkelanjutan,bankbsi_id,terima kasih atas kepercayaannya selama ini kepada bank syariah nn ,terima kasih atas percaya lama ini kepada bank syariah nn
netral,Intinya jangan sampai terjebak oleh bentuk modus penipuan apapun ya,,intinya jangan sampai terjebak oleh bentuk modus penipuan apapun ya,inti jangan sampai jebak oleh bentuk modus tipu apa ya
positif,Buat yang belum beruntung jangan bersedih hati. Tetap semangat,,buat yang belum beruntung jangan bersedih hati tetap semangat,buat yang belum untung jangan sedih hati tetap semangat
positif,Segenap Keluarga Besar PT Bank Syariah Indonesia Tbk mengucapkan selamat atas dilantiknya Bapak Rabin Indrajad Hattari sebagai Sekretaris Kementerian BUMN. \n\nSemoga dimudahkan dalam mengemban amanah.\n\n#BankSyariahIndonesia\n#TumbuhSeimbangDanBerkelanjutan https://t.co/i1gzVLWzfW,bankbsi_id,segenap keluarga besar pt bank syariah tbk mengucapkan selamat atas dilantiknya bapak rabin indrajad hattari sebagai sekretaris kementerian bumn nnsemoga dimudahkan dalam mengemban amanahnnn ,segenap keluarga besar pt bank syariah tbk ucap selamat atas lantik bapak rabin indrajad hattari bagai sekretaris menteri bumn nnsemoga mudah dalam emban amanahnnn
netral,Berita serangan ransomware ke BSI masih menjadi topik hangat belakangan ini,,berita serangan ransomware ke bsi masih menjadi topik hangat belakangan ini,berita serang ransomware ke bsi masih jadi topik hangat belakang ini
netral,Adapun informasi layanan weekend banking tertera pada image. Informasi lebih lanjut terkait kantor cabang yang melaksanakan weekend banking,,adapun informasi layanan weekend banking tertera pada image informasi lebih lanjut terkait kantor cabang yang melaksanakan weekend banking,adapun informasi layan weekend banking tera pada image informasi lebih lanjut kait kantor cabang yang laksana weekend banking
positif,Segenap Keluarga Besar PT Bank Syariah Indonesia Tbk mengucapkan Selamat Hari Kebangkitan Nasional. \n\nJadikan momen ini sebagai semangat kita untuk selalu bangkit bersama dalam membangun Indonesia yang lebih maju. \n\n#BankSyariahIndonesia\n#TumbuhSeimbangDanBerkelanjutan https://t.co/YvZqNB3bRU,bankbsi_id,segenap keluarga besar pt bank syariah tbk mengucapkan selamat hari kebangkitan nasional nnjadikan momen ini sebagai semangat kita untuk selalu bangkit bersama dalam membangun yang lebih maju nnn ,segenap keluarga besar pt bank syariah tbk ucap selamat hari bangkit nasional nnjadikan momen ini bagai semangat kita untuk selalu bangkit sama dalam bangun yang lebih maju nnn
positif,Hal ini merupakan bagian dari dukungan nyata Menteri BUMN terhadap perkembangan Bank Syariah Indonesia. \n\n#BankSyariahIndonesia\n#TumbuhSeimbangDanBerkelanjutan,bankbsi_id,hal ini merupakan bagian dari dukungan nyata menteri bumn terhadap perkembangan bank syariah nnn,hal ini rupa bagi dari dukung nyata menteri bumn hadap kembang bank syariah nnn
positif,OJK Kirim Surat ke BSI Untuk Pastikan Keamanan Data Nasabah\n\nhttps://t.co/QGbHew76Ek\n\n#finance #ojk #bsi #BankSyariahIndonesia #banksyariah #datanasabah #Data #nasabah #perbankan,officialntv_,ojk kirim surat ke bsi untuk pastikan keamanan data nasabahnn ,ojk kirim surat ke bsi untuk pasti aman data nasabahnn
netral,Dan KCP Bandung Setiabudi 2 sebagai berikut yang terlampir di image. \n\nDemikian informasi ini kami sampaikan,,dan kcp bandung setiabudi sebagai berikut yang terlampir di image nndemikian informasi ini kami sampaikan,dan kcp bandung setiabudi bagai ikut yang lampir di image nndemikian informasi ini kami sampai
